Time,Name
07:30,偉(群寵地圖)
08:18,..
08:23,星夢北北
08:23,宜蘭人+1
08:26,公羽
08:26,YZ
08:27,妤
08:28,一隻水獺
08:28,阿撿
08:28,黑貓叫小白
08:29,小潘
08:32,Lin
08:33,蔡桃
08:35,逗點
08:36,hsiuan
08:36,小祈
08:41,河豚
08:41,賴小多
08:43,Cpc
08:44,安
08:48,I
08:53,Ji
09:00,魚
09:01,Jean
09:03,LL
09:05,犀牛
09:05,安安
09:06,大熊
09:07,Rou
09:08,汪汪隊
09:11,糕糕
09:12,az2018
09:13,妍妍
09:15,Ask
09:18,🐍🐭🐯
09:19,YUuus
09:19,a
09:20,Hgggg
09:21,人才
09:29,雅蕓
09:31,淳
09:35,阿牛妳在哪裡？
09:36,陳晅
09:36,阿瑞斯
09:41,K
09:45,屁顛695
09:46,太陽
09:47,Kevin Lin
09:49,王793
09:49,嘴
09:51,阿尼
09:54,Cwei
09:54,Andy
09:55,L
09:56,AVC’s
09:56,Barbie
09:58,鐵仔
10:00,牛來 阿牛快回來
10:00,iris717
10:03,Cct
10:04,Yu
10:05,小短腿
10:06,Q
10:07,伊伊
10:08,Zzz
10:08,𝗬ijuN.09
10:11,Zhi
10:13,大天
10:14,栖栖( ¨̮ )
10:16,阿晴
10:18,Jun🌙
10:23,87
10:23,可頌
10:24,阿米米
10:25,Kai
10:26,S✨
10:26,秋蛙
10:27,吳小猴
10:29,虹🌈
10:29,Yayaya
10:30,Po
10:30,Zhu
10:30,Nickyyyyen
10:32,Yoyoman
10:32,小豬
10:32,狗勾
10:33,阿牛快回家
10:33,湯圓
10:33,Yuy
10:33,阿荃
10:35,史丹利
10:36,阿牛回家了
10:36,123
10:38,阿咘
10:38,0
10:40,小羊還我卡
10:43,阿哲
10:43,DD
10:43,Cj
10:44,毛毛
10:44,liora
10:45,Ko
10:46,堯
10:46,Helen
10:46,昨天有找狗
10:47,Fdvhh
10:47,Annnnn
10:47,CHC
10:47,穩
10:48,yesssss
10:48,郭
10:51,可可蜂蜜
10:51,91
10:51,Pan
10:51,lin1120
10:52,宜蘭市民AX
10:52,Hann
10:52,c8teacher
10:54,52
10:55,Hsuangg
10:55,K2245子芸
10:56,Fay
10:57,禾
10:59,Cy
10:59,寶品
10:59,程
11:00,金魚
11:02,Liang
11:02,Coffee
11:03,阿米
11:04,小魚
11:04,宜蘭縣-蔡蔡
11:05,Lee Chen
11:07,Huang
11:07,仲
11:08,Yao
11:08,67
11:08,Yy (64741779)
11:08,軒
11:12,Jessica
11:13,Yuuu__
11:15,Ryan
11:17,Caleb
11:17,Wei
11:17,陳定緯
11:18,Iris
11:18,Z/
11:18,GC
11:19,Meow
11:20,翔
11:20,小恩🤞
11:21,鯊魚
11:21,噓噓噓
11:22,Ruuuu
11:22,Ann
11:22,尋找狗狗大作戰
11:22,Yolanda
11:24,Ik
11:24,日青
11:25,汪汪
11:26,yyya
11:27,Orz
11:28,宜蘭搜救阿牛志願勇者
11:29,御丞
11:30,UlaQQ
11:30,呀哈
11:30,早安美芝城
11:30,小綿🐑
11:31,牛來
11:32,阿牛守門員
11:33,狗狗回家！
11:34,hay
11:34,冬山大谷翔平
11:35,😎
11:35,源
11:37,peipei
11:39,Shi
11:40,dolly
11:41,dolly寶
11:42,Ada H
11:42,ORO
11:46,嘿嘿
11:47,神龍殿殿主📞💼💪🏻💯🎉🏆。
11:47,ching
11:48,Eudora
11:50,mi
11:50,Lalala
11:51,Sh
11:51,志剛
11:51,小賀013578
11:52,冬山人
11:55,小豆
11:56,粉紅
11:57,🐶🏠
11:57,Cute
11:57,Icedog
11:58,阿牛來
11:58,vinru
11:59,察
11:59,👾😸🎃🐼kk
11:59,哲51
12:00,嘻嘻11
12:00,CC
12:03,耍廢黑貓
12:03,衍
12:04,佩佩
12:04,yun
12:05,Jimmy
12:06,W
12:06,lowcykey
12:06,哈哈
12:06,Jun_0529
12:07,Lai
12:08,喬.
12:08,chen
12:09,肉丸
12:09,好聽
12:09,Eric369
12:10,Poki媽
12:10,阿牛你在哪
12:12,歡兒
12:12,KKK67
12:12,羊
12:13,佐伊
12:15,阿牛我來找你了
12:15,JFX
12:17,6688
12:17,Tong
12:18,XUANWEI
12:18,丸吶
12:19,wen
12:19,阿牛哥希望阿牛妹快回家
12:20,杜賓
12:21,Chen97
12:21,7
12:22,We
12:24,家婷
12:24,叡
12:25,玉米
12:25,佐
12:25,S99
12:26,Kaiz
12:26,Junn
12:28,【Lm
12:29,潔
12:29,Kaito
12:29,浪子
12:30,牛來12
12:30,Zhao
12:32,仁
12:32,Yay Yan
12:33,曼曼
12:33,蔡宜娟
12:34,Dai
12:35,(◐‿◑)
12:35,mavisyeh
12:37,🪶蘑菇蘑菇
12:37,cx330
12:37,Px 7
12:37,S
12:38,阿和
12:38,Jun
12:38,DanDan
12:38,My
12:39,小李
12:40,球球
12:40,胖達
12:40,uen
12:41,花🌸
12:41,操場
12:42,Ashu
12:43,eva
12:43,Josh
12:43,CCL
12:44,瑀
12:45,Pin
12:48,Greentea
12:48,維維
12:48,賴彼得
12:49,柯基
12:49,小紫
12:49,JS
12:49,Niuniu
12:50,Qazwe
12:50,零
12:51,Morrien
12:52,花生糖
12:52,啊聲
12:54,礁溪金田一
12:54,wennn
12:55,Chuu26
12:55,Een
12:56,法咪
12:56,好貓
12:57,阿樺
12:57,Joanne
12:58,Mia Liu
12:58,小宇
12:59,承
13:01,🚀婷婷
13:01,琪
13:01,來臭熱鬧
13:02,Allen
13:02,松
13:02,C
13:02,賴
13:02,如
13:04,Faker
13:05,蛤
13:06,ocean
13:07,yunnn
13:07,㞷
13:07,阿月
13:08,佑
13:08,🎀婷🎀
13:09,momo
13:09,米
13:11,瓜
13:11,梅
13:12,Jerry yyy
13:15,numbaby
13:17,摸一個🛺
13:17,Aaaa
13:17,瑄
13:17,嘎
13:17,巧克力蛋糕
13:18,LJJ
13:20,嘟嘟
13:21,yanwo
13:21,佩
13:21,好👌
13:23,Chun
13:23,Shan
13:24,🐶🐶🐶🐶
13:24,浿浿
13:24,小小霖
13:25,1010
13:25,lilac
13:28,簡青
13:29,Xiaohow
13:30,阿貴
13:30,牛來🐄
13:35,Tony
13:35,旺旺
13:35,芸☁️
13:36,Yunting
13:36,3
13:36,涵
13:37,Lumi
13:38,阿牛我來了
13:38,林.
13:38,Panda
13:39,加油！！
13:39,白目博士
13:41,grace
13:41,Xinn
13:41,ㄢ
13:43,山姆小胖
13:44,妞
13:44,Blueeee
13:45,Juan
13:46,阿牛阿牛我來了
13:46,Bobo
13:47,Yann
13:47,預
13:47,JF
13:49,F
13:53,魷魚
13:54,黃小敏
13:55,Ria
13:55,H
13:56,n
13:56,兇猛的媽媽
13:57,Linj
13:59,米呀
13:59,Oops
13:59,幸運兒
14:03,Mo🍑
14:07,nannan
14:07,天祥
14:09,峻（蘇澳）
14:10,Hsinwei
14:13,小星~
14:14,cheng
14:14,12366
14:15,TOP
14:15,葉
14:16,Abb
14:17,蘋
14:18,財
14:19,小草123
14:20,蓉
14:20,金
14:20,仔仔
14:24,搜狗大隊
14:24,狼
14:25,lema
14:27,No
14:27,賢
14:27,王昕
14:29,阿辰
14:30,10萬我來了
14:33,Zcen
14:36,世宗
14:40,培根
14:43,誠a
14:43,Huangg
14:44,Lala❤️
14:45,要拼
14:46,宜大生
14:46,:0
14:47,Flowers
14:47,🐑羊羊🐑
14:49,Bill
14:49,Felix
14:51,Ohan
14:52,比比
14:52,閎
14:54,楷
14:55,哥吉拉
14:56,穎
14:56,阿鼠
14:57,老賴
14:59,羅東-咖啡太甜
15:02,NN.
15:02,歐藤麻
15:03,小劉
15:03,Zhi zhi
15:03,Fen
15:04,Qianyu
15:04,Bernie
15:05,老周
15:07,11
15:08,Send tree pay
15:08,Amber Chen
15:09,可可豆
15:09,找狗達人EDDY
15:09,九頭龍閃到腰
15:10,射手
15:12,跟狗一樣
15:13,古元
15:14,豬豬俠
15:15,鵝
15:15,妮妮
15:16,顏肉鬆
15:16,啊宇
15:20,wex
15:20,阿牛在哪
15:23,Minoooooo
15:28,在地土生土長的冬山下智久
15:28,花花
15:31,小同
15:34,35777547 - Rain
15:34,米香（宜蘭）
15:36,Hz
15:39,Vivian
15:43,Maggie
15:43,綸
15:44,🐶🐶🏠🏠🔍
15:55,911
15:55,5567
15:56,阿牛（汪汪汪汪）
15:57,Mikasa
16:00,Sun
16:01,Zy
16:04,HUA
16:05,袋鼠
16:08,yinn
16:08,Chichi30
16:08,康樂鼓掌
16:08,奇
16:08,🥹🐻‍❄️
16:12,Woody媽
16:13,布偶貓
16:13,⭕️
16:15,紅露
16:15,雙雙
16:17,Hui__
16:22,EL
16:24,牛牛
16:29,李
16:30,0
16:30,陳
16:32,Tzu en
16:33,Sunny
16:34,kobe
16:34,林歐瑪
16:35,希望阿牛快快回家
16:37,祐
16:41,10
16:42,不嘻嘻
16:44,游先生
16:45,Chen  ya
16:46,西🐟
16:49,宮美春掐
16:52,陽
16:55,Nny
16:56,Y
16:56,504
16:56,兆熙
16:57,翔1
16:59,昕
17:01,Mr.王
17:02,Peter Wu
17:03,Tris
17:05,毅
17:09,達
17:11,4J
17:11,烏龜敲鐵錘
17:12,Kk
17:13,Yvonne
17:17,小U
17:17,kai2. 0
17:18,小毛寶❤️
17:19,芋頭西米露腸
17:19,我左看右看上看下看
17:22,浣
17:22,Richard
17:25,華芳
17:25,6767
17:27,阿欣
17:31,樺樺
17:32,諺
17:33,啊茹٩( 'ω' )و
17:34,Zozozo
17:35,潛水的人
17:36,🐻‍❄️🌟
17:37,汪
17:38,哈雷
17:40,999
17:40,龍
17:41,宇宇
17:42,哈娜
17:43,zhiii
17:52,KUT
17:52,頡
17:52,晉
17:53,9527
17:58,龍1
17:59,江
18:00,蝦
18:10,P
18:13,momoko
18:15,🕷️
18:17,資
18:21,Brianwu
18:22,TSAI
18:28,峰
18:33,比
18:34,Zoe
18:36,1
18:40,又
18:43,yxnn
18:44,小峰
18:50,木
18:52,Nunu
18:54,鼓東西
18:55,聽見風
18:56,小李子
19:03,凱伊
